Time,[Mb/s]
2019-12-19T10:02:17.883020,10138
2019-12-19T10:02:18.884486,10598
2019-12-19T10:02:19.885835,10727
2019-12-19T10:02:20.887176,10669
2019-12-19T10:02:21.888440,10708
2019-12-19T10:02:22.889757,10751
2019-12-19T10:02:23.891079,10757
2019-12-19T10:02:24.892441,10379
2019-12-19T10:02:25.893732,10019
2019-12-19T10:02:26.895081,8762
2019-12-19T10:02:27.896373,10372
2019-12-19T10:02:28.897686,10816
2019-12-19T10:02:29.899022,10610
2019-12-19T10:02:30.900377,10132
2019-12-19T10:02:31.901689,9617
2019-12-19T10:02:32.902926,9710
2019-12-19T10:02:33.904245,10337
2019-12-19T10:02:34.905475,10420
2019-12-19T10:02:35.906766,10513
2019-12-19T10:02:36.908020,9869
2019-12-19T10:02:37.909282,10735
2019-12-19T10:02:38.910581,9844
2019-12-19T10:02:39.911884,10589
2019-12-19T10:02:40.913135,10254
2019-12-19T10:02:41.914432,10335
2019-12-19T10:02:42.915836,10400
2019-12-19T10:02:43.917126,10341
2019-12-19T10:02:44.918439,10753
2019-12-19T10:02:45.919715,7867
2019-12-19T10:02:46.921060,2725
2019-12-19T10:02:47.922299,2760
2019-12-19T10:02:48.923220,2708
2019-12-19T10:02:49.924475,2382
2019-12-19T10:02:50.925849,1900
2019-12-19T10:02:51.927124,1854
2019-12-19T10:02:52.928644,1828
2019-12-19T10:02:53.930030,1875
2019-12-19T10:02:54.931490,1925
2019-12-19T10:02:55.932716,1926
2019-12-19T10:02:56.934007,1956
2019-12-19T10:02:57.935397,1962
2019-12-19T10:02:58.936747,1901
2019-12-19T10:02:59.938715,1879
2019-12-19T10:03:00.939230,1936
2019-12-19T10:03:01.940489,1889
2019-12-19T10:03:02.941978,1861
2019-12-19T10:03:03.943458,1967
2019-12-19T10:03:04.944708,1884
2019-12-19T10:03:05.946655,1893
2019-12-19T10:03:06.948179,1851
2019-12-19T10:03:07.949708,1874
2019-12-19T10:03:08.951029,1870
2019-12-19T10:03:09.952374,1880
2019-12-19T10:03:10.953855,1898
2019-12-19T10:03:11.955212,1924
2019-12-19T10:03:12.956492,1954
2019-12-19T10:03:13.957815,1906
2019-12-19T10:03:14.959201,1826
