Time,[Mb/s]
2019-12-19T10:02:46.567453,2750
2019-12-19T10:02:47.568841,2675
2019-12-19T10:02:48.570062,2489
2019-12-19T10:02:49.571315,2627
2019-12-19T10:02:50.572635,1915
2019-12-19T10:02:51.574310,1831
2019-12-19T10:02:52.575175,1729
2019-12-19T10:02:53.576420,1824
2019-12-19T10:02:54.577777,1855
2019-12-19T10:02:55.579283,1774
2019-12-19T10:02:56.580698,1851
2019-12-19T10:02:57.581980,1871
2019-12-19T10:02:58.583407,1833
2019-12-19T10:02:59.584758,1875
2019-12-19T10:03:00.586930,1760
2019-12-19T10:03:01.588216,1798
2019-12-19T10:03:02.589692,1834
2019-12-19T10:03:03.590964,1894
2019-12-19T10:03:04.592237,1814
2019-12-19T10:03:05.593595,1873
2019-12-19T10:03:06.594876,1860
2019-12-19T10:03:07.596402,1785
2019-12-19T10:03:08.597812,1827
2019-12-19T10:03:09.599125,1861
2019-12-19T10:03:10.600450,1828
2019-12-19T10:03:11.601760,1820
2019-12-19T10:03:12.603152,1852
2019-12-19T10:03:13.604530,1786
2019-12-19T10:03:14.605936,1896
2019-12-19T10:03:15.608144,543
