Time,[Mb/s]
2019-12-19T10:02:50.672456,1856
2019-12-19T10:02:51.673807,1831
2019-12-19T10:02:52.675146,1826
2019-12-19T10:02:53.676348,1828
2019-12-19T10:02:54.677783,1894
2019-12-19T10:02:55.678995,1832
2019-12-19T10:02:56.680371,1932
2019-12-19T10:02:57.681795,1891
2019-12-19T10:02:58.683174,1815
2019-12-19T10:02:59.684413,1890
2019-12-19T10:03:00.685784,1838
2019-12-19T10:03:01.687070,1819
2019-12-19T10:03:02.688373,1859
2019-12-19T10:03:03.689676,1900
2019-12-19T10:03:04.691317,1838
2019-12-19T10:03:05.692635,1858
2019-12-19T10:03:06.693479,1855
2019-12-19T10:03:07.694798,1814
2019-12-19T10:03:08.695210,1808
2019-12-19T10:03:09.696525,1773
2019-12-19T10:03:10.697809,1823
2019-12-19T10:03:11.699066,1894
2019-12-19T10:03:12.700385,1878
2019-12-19T10:03:13.701650,1811
2019-12-19T10:03:14.703016,1798
2019-12-19T10:03:15.704384,346
