Time,[Mb/s]
2019-12-19T10:06:16.891856,2747
2019-12-19T10:06:17.893118,2886
2019-12-19T10:06:18.894481,2840
2019-12-19T10:06:19.895503,2872
2019-12-19T10:06:20.896810,2869
2019-12-19T10:06:21.898231,2818
2019-12-19T10:06:22.899188,2741
2019-12-19T10:06:23.900478,2869
2019-12-19T10:06:24.901847,2795
2019-12-19T10:06:25.903077,2718
2019-12-19T10:06:26.904383,2814
2019-12-19T10:06:27.905667,2851
2019-12-19T10:06:28.906943,2857
2019-12-19T10:06:29.908349,2778
2019-12-19T10:06:30.909636,2838
2019-12-19T10:06:31.910881,2124
2019-12-19T10:06:32.912135,1860
2019-12-19T10:06:33.913417,1833
2019-12-19T10:06:34.914863,1789
2019-12-19T10:06:35.916220,1861
2019-12-19T10:06:36.917712,1885
2019-12-19T10:06:37.919319,1813
2019-12-19T10:06:38.920669,1866
2019-12-19T10:06:39.921918,1872
2019-12-19T10:06:40.923147,1802
2019-12-19T10:06:41.924423,1935
2019-12-19T10:06:42.925743,1861
2019-12-19T10:06:43.927231,1819
2019-12-19T10:06:44.928491,1846
2019-12-19T10:06:45.929846,1878
2019-12-19T10:06:46.931244,1848
2019-12-19T10:06:47.932789,1814
2019-12-19T10:06:48.934189,1869
2019-12-19T10:06:49.936279,1813
2019-12-19T10:06:50.937746,1866
2019-12-19T10:06:51.939187,521
