Time,[Mb/s]
2019-12-19T08:42:46.856119,9326.882488
2019-12-19T08:42:47.857452,9924.79472
2019-12-19T08:42:48.858831,10562.213224
2019-12-19T08:42:49.860321,9591.204552
2019-12-19T08:42:50.861640,9461.85124
2019-12-19T08:42:51.862845,8952.068384
2019-12-19T08:42:52.864052,10205.368528
2019-12-19T08:42:53.865377,9143.75308
2019-12-19T08:42:54.866669,9702.192072
2019-12-19T08:42:55.867992,9850.241496
2019-12-19T08:42:56.869362,9597.579728
2019-12-19T08:42:57.871149,2243.995888
2019-12-19T08:42:58.872891,2354.818248
2019-12-19T08:42:59.874359,2287.201744
2019-12-19T08:43:00.875921,2326.146472
2019-12-19T08:43:01.877271,1912.05732
2019-12-19T08:43:02.878801,1168.969448
2019-12-19T08:43:03.880554,1205.800128
2019-12-19T08:43:04.883192,1197.90548
2019-12-19T08:43:05.884536,1130.255944
2019-12-19T08:43:06.885815,1178.119312
2019-12-19T08:43:07.886858,1163.254912
2019-12-19T08:43:08.888058,1105.845296
2019-12-19T08:43:09.890083,1104.986464
2019-12-19T08:43:10.891960,1152.387384
2019-12-19T08:43:11.893344,269.408992
